,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,converted_trade_price,ma_25,ma_30,market_ichimoku,candle_date_time_utc_ichimoku,candle_date_time_kst_ichimoku,opening_price_ichimoku,high_price_ichimoku,low_price_ichimoku,trade_price_ichimoku,candle_acc_trade_price_ichimoku,candle_acc_trade_volume_ichimoku,prev_closing_price_ichimoku,change_price_ichimoku,change_rate_ichimoku,converted_trade_price_ichimoku,conversion_line,base_line,leading_span_a,leading_span_b,golden_cross,price_breakout,buy_signal,sell_signal
0,KRW-BTC,2024-05-25T00:00:00,2024-05-25T09:00:00,95214000.0,96598000.0,95192000.0,96240000.0,2024-05-25 09:00:00,139437862033.11826,1452.89641348,95214000.0,1026000.0,0.0107757263,,,,KRW-BTC,2024-05-25T00:00:00,2024-05-25T09:00:00,95214000.0,96598000.0,95192000.0,96240000.0,139437862033.11826,1452.89641348,95214000.0,1026000.0,0.0107757263,,,,,,,,,
1,KRW-BTC,2024-05-26T00:00:00,2024-05-26T09:00:00,96240000.0,96590000.0,95400000.0,95610000.0,2024-05-26 09:00:00,152194945654.3936,1583.87158304,96240000.0,-630000.0,-0.0065461347,,,,KRW-BTC,2024-05-26T00:00:00,2024-05-26T09:00:00,96240000.0,96590000.0,95400000.0,95610000.0,152194945654.3936,1583.87158304,96240000.0,-630000.0,-0.0065461347,,,,,,,,,
2,KRW-BTC,2024-05-27T00:00:00,2024-05-27T09:00:00,95634000.0,97360000.0,95050000.0,96050000.0,2024-05-27 09:00:00,256303977047.8687,2667.48347563,95610000.0,440000.0,0.0046020291,,,,KRW-BTC,2024-05-27T00:00:00,2024-05-27T09:00:00,95634000.0,97360000.0,95050000.0,96050000.0,256303977047.8687,2667.48347563,95610000.0,440000.0,0.0046020291,,,,,,,,,
3,KRW-BTC,2024-05-28T00:00:00,2024-05-28T09:00:00,96050000.0,96119000.0,93654000.0,94600000.0,2024-05-28 09:00:00,300604135784.2556,3176.96320333,96050000.0,-1450000.0,-0.015096304,,,,KRW-BTC,2024-05-28T00:00:00,2024-05-28T09:00:00,96050000.0,96119000.0,93654000.0,94600000.0,300604135784.2556,3176.96320333,96050000.0,-1450000.0,-0.015096304,,,,,,,,,
4,KRW-BTC,2024-05-29T00:00:00,2024-05-29T09:00:00,94654000.0,95232000.0,93440000.0,93910000.0,2024-05-29 09:00:00,233226273178.99045,2475.18788783,94600000.0,-690000.0,-0.0072938689,,,,KRW-BTC,2024-05-29T00:00:00,2024-05-29T09:00:00,94654000.0,95232000.0,93440000.0,93910000.0,233226273178.99045,2475.18788783,94600000.0,-690000.0,-0.0072938689,,,,,,,,,
5,KRW-BTC,2024-05-30T00:00:00,2024-05-30T09:00:00,93910000.0,96120000.0,93620000.0,94943000.0,2024-05-30 09:00:00,255996014541.8591,2703.78621192,93910000.0,1033000.0,0.0109998935,,,,KRW-BTC,2024-05-30T00:00:00,2024-05-30T09:00:00,93910000.0,96120000.0,93620000.0,94943000.0,255996014541.8591,2703.78621192,93910000.0,1033000.0,0.0109998935,,,,,,,,,
6,KRW-BTC,2024-05-31T00:00:00,2024-05-31T09:00:00,95005000.0,96000000.0,93700000.0,94505000.0,2024-05-31 09:00:00,209050615252.5121,2203.22332533,94943000.0,-438000.0,-0.0046132943,,,,KRW-BTC,2024-05-31T00:00:00,2024-05-31T09:00:00,95005000.0,96000000.0,93700000.0,94505000.0,209050615252.5121,2203.22332533,94943000.0,-438000.0,-0.0046132943,,,,,,,,,
7,KRW-BTC,2024-06-01T00:00:00,2024-06-01T09:00:00,94504000.0,94850000.0,94361000.0,94720000.0,2024-06-01 09:00:00,58706044440.81196,620.25035104,94505000.0,215000.0,0.0022750119,,,,KRW-BTC,2024-06-01T00:00:00,2024-06-01T09:00:00,94504000.0,94850000.0,94361000.0,94720000.0,58706044440.81196,620.25035104,94505000.0,215000.0,0.0022750119,,,,,,,,,
8,KRW-BTC,2024-06-02T00:00:00,2024-06-02T09:00:00,94762000.0,95626000.0,94500000.0,95000000.0,2024-06-02 09:00:00,105872261448.48648,1113.85982666,94720000.0,280000.0,0.0029560811,,,,KRW-BTC,2024-06-02T00:00:00,2024-06-02T09:00:00,94762000.0,95626000.0,94500000.0,95000000.0,105872261448.48648,1113.85982666,94720000.0,280000.0,0.0029560811,,95400000.0,,,,,,,
9,KRW-BTC,2024-06-03T00:00:00,2024-06-03T09:00:00,95000000.0,97358000.0,94825000.0,95994000.0,2024-06-03 09:00:00,267415381863.87976,2779.47684838,95000000.0,994000.0,0.0104631579,,,,KRW-BTC,2024-06-03T00:00:00,2024-06-03T09:00:00,95000000.0,97358000.0,94825000.0,95994000.0,267415381863.87976,2779.47684838,95000000.0,994000.0,0.0104631579,,95400000.0,,,,,,,
10,KRW-BTC,2024-06-04T00:00:00,2024-06-04T09:00:00,95994000.0,97927000.0,95520000.0,97500000.0,2024-06-04 09:00:00,261246188651.128,2699.30531296,95994000.0,1506000.0,0.0156884805,,,,KRW-BTC,2024-06-04T00:00:00,2024-06-04T09:00:00,95994000.0,97927000.0,95520000.0,97500000.0,261246188651.128,2699.30531296,95994000.0,1506000.0,0.0156884805,,95683500.0,,,,,,,
